Province,Population
Beijing,21893095
Tianjin,13866009
Hebei,74610235
Shanxi,34915616
Inner Mongolia,24049155
Liaoning,42591407
Jilin,24073453
Heilongjiang,31850088
Shanghai,24870895
Jiangsu,84748016
Zhejiang,64567588
Anhui,61027171
Fujian,41540086
Jiangxi,45188635
Shandong,101527453
Henan,99365519
Hubei,57752557
Hunan,66444864
Guangdong,126012510
Guangxi,50126804
Chongqing,32054159
Sichuan,83674866
Guizhou,38562148
Yunnan,47209277
Tibet,3648100
Shaanxi,39528999
Gansu,25019831
Qinghai,5923957
Ningxia,7202654
Xinjiang,25852345
